QQQ (INVESCO QQQ TRUST, SERIES 1),178.99,-0.04,
Jul 22 2018 @ 02:52 ET,Bid,178.98,Ask,178.99,Size,5x34,Vol,35907619,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 120.00 (QQQ1820G120-I),47.35,0.0,57.91,59.50,0,6,2018 Jul 20 120.00 (QQQ1820S120-I),0.11,0.0,0.0,0.75,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-J),0.0,0.0,58.17,59.70,0,6,2018 Jul 20 120.00 (QQQ1820S120-J),1.29,0.0,0.0,0.52,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-K),0.0,0.0,56.55,61.50,0,6,2018 Jul 20 120.00 (QQQ1820S120-K),0.0,0.0,0.0,5.00,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-O),0.0,0.0,58.37,59.50,0,6,2018 Jul 20 120.00 (QQQ1820S120-O),0.01,0.0,0.0,0.31,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-OG),0.0,0.0,56.84,61.09,0,6,2018 Jul 20 120.00 (QQQ1820S120-OG),0.01,0.0,0.0,2.13,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-P),59.32,+10.48,58.37,59.50,1,6,2018 Jul 20 120.00 (QQQ1820S120-P),0.11,0.0,0.0,0.01,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-S),0.0,0.0,56.96,60.72,0,6,2018 Jul 20 120.00 (QQQ1820S120-S),0.69,0.0,0.0,1.88,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-X),52.70,0.0,58.37,59.50,0,6,2018 Jul 20 120.00 (QQQ1820S120-X),0.01,0.0,0.0,0.51,0,1354,
2018 Jul 20 120.00 (QQQ1820G120-Y),42.35,0.0,56.50,61.50,0,6,2018 Jul 20 120.00 (QQQ1820S120-Y),0.65,0.0,0.0,0.01,0,1354,
2018 Jul 20 125.00 (QQQ1820G125),48.75,0.0,53.37,54.50,0,19,2018 Jul 20 125.00 (QQQ1820S125),0.01,0.0,0.0,0.01,0,817,
2018 Jul 20 125.00 (QQQ1820G125-3),0.0,0.0,53.37,54.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-3),0.05,0.0,0.0,0.52,0,817,
