USO (UNITED STATES OIL FUND),14.15,+0.02,
Jul 22 2018 @ 03:03 ET,Bid,14.14,Ask,14.15,Size,0x0,Vol,22809485,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 8.50 (USO1820G8.5-4),0.0,0.0,5.60,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-4),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-8),0.0,0.0,5.35,5.95,0,0,2018 Jul 20 8.50 (USO1820S8.5-8),0.0,0.0,0.0,0.08,0,0,
2018 Jul 20 8.50 (USO1820G8.5-A),0.0,0.0,0.0,0.0,0,0,2018 Jul 20 8.50 (USO1820S8.5-A),0.0,0.0,0.0,0.0,0,0,
2018 Jul 20 8.50 (USO1820G8.5-B),0.0,0.0,5.60,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-B),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-E),0.0,0.0,5.60,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-E),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-I),0.0,0.0,5.60,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-I),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-J),0.0,0.0,5.60,5.80,0,0,2018 Jul 20 8.50 (USO1820S8.5-J),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-K),0.0,0.0,3.20,8.00,0,0,2018 Jul 20 8.50 (USO1820S8.5-K),0.0,0.0,0.0,5.00,0,0,
2018 Jul 20 8.50 (USO1820G8.5-O),0.0,0.0,5.60,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-O),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-OG),0.0,0.0,5.60,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-OG),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-P),0.0,0.0,0.0,0.0,0,0,2018 Jul 20 8.50 (USO1820S8.5-P),0.0,0.0,0.0,0.0,0,0,
2018 Jul 20 8.50 (USO1820G8.5-S),0.0,0.0,5.55,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-S),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-X),0.0,0.0,5.60,5.70,0,0,2018 Jul 20 8.50 (USO1820S8.5-X),0.0,0.0,0.0,0.03,0,0,
2018 Jul 20 8.50 (USO1820G8.5-Y),0.0,0.0,3.00,8.00,0,0,2018 Jul 20 8.50 (USO1820S8.5-Y),0.0,0.0,0.0,2.13,0,0,
2018 Jul 20 9.00 (USO1820G9),4.79,0.0,5.10,5.20,0,11,2018 Jul 20 9.00 (USO1820S9),0.01,0.0,0.0,0.01,0,8090,
2018 Jul 20 9.00 (USO1820G9-3),0.0,0.0,5.05,5.20,0,11,2018 Jul 20 9.00 (USO1820S9-3),0.05,0.0,0.0,0.01,0,8090,
2018 Jul 20 9.00 (USO1820G9-4),2.73,0.0,5.05,5.20,0,11,2018 Jul 20 9.00 (USO1820S9-4),0.04,0.0,0.0,0.01,0,8090,
